,serp_cluster,query,Keyword,SERP features,Volume,KD,CPC,Previous traffic,Current traffic,Traffic change,Previous position,Current position,Position change,Previous URL inside,Previous URL,Current URL inside,Current URL,Previous date,Current date
0,(5,(5,(5,,40,76,,0.0,,,42.0,,Lost,,https://www.bikeleague.org/5-Es,,,2022-10-30 22:47:11,
1,(5,@5,@5,,50,76,,0.0,,,69.0,,Lost,,https://www.bikeleague.org/5-Es,,,2022-10-31 00:23:47,
2,(5,>5,>5,,150,88,,0.0,,,37.0,,Lost,,https://www.bikeleague.org/5-Es,,,2022-10-31 15:10:12,
3,11 mile bike ride,biking 12 miles a day,biking 12 miles a day,,40,1,,0.0,,,95.0,,Lost,,https://www.bikeleague.org/content/bike-month-dates-events-0,,,2022-10-29 08:54:32,
4,11 mile bike ride,11 mile bike ride,11 mile bike ride,,20,4,,0.0,,,96.0,,Lost,,https://www.bikeleague.org/sites/default/files/ab_nov_dec_2012.pdf,,,2022-10-28 14:01:16,
5,12 person bike,pedal bike indianapolis,pedal bike indianapolis,,40,16,,0.0,,,35.0,,Lost,,https://www.bikeleague.org/legacy/conferences/summit13/Presentations/Indianapolis%20from%20Zero%20to%20Hero/BGI_IndyTimeline_Retail_Advocacy_2013.pdf,,,2022-11-08 18:13:57,
6,12 person bike,12 person bike,12 person bike,,20,32,0.0,0.0,,,64.0,,Lost,,https://www.bikeleague.org/StateBikeLaws,,,2022-11-14 23:21:35,
7,120 lakehurst dr bratenahl oh,120 lakehurst dr bratenahl oh,120 lakehurst dr bratenahl oh,Sitelinks,90,2,,,0.0,,,49.0,New,,,,https://www.bikeleague.org/legacy/programs/bicyclefriendlyamerica/communities/censusdata.pdf,,2023-02-01 11:06:40
8,120 lakehurst dr bratenahl oh,120 lakehurst dr. in bratenahl,120 lakehurst dr. in bratenahl,,60,2,,,0.0,,,47.0,New,,,,https://www.bikeleague.org/legacy/programs/bicyclefriendlyamerica/communities/censusdata.pdf,,2023-02-12 13:43:33
9,123 people search,123 people search,123 people search,,200,63,0.97,0.0,,,98.0,,Lost,,https://www.bikeleague.org/content/find-take-class,,,2022-10-30 09:07:27,
10,123 search,123 search,123 search,,30,12,0.67,0.0,,,75.0,,Lost,,https://www.bikeleague.org/content/find-take-class,,,2022-10-24 00:20:58,
11,123 search,search 123,search 123,,20,10,0.0,0.0,,,87.0,,Lost,,https://www.bikeleague.org/content/find-take-class,,,2022-10-27 18:07:27,
12,12312 port grace blvd,12312 port grace blvd,12312 port grace blvd,"Image pack, Sitelinks",70,0,0.0,0.0,0.0,0.0,38.0,38.0,,,https://www.bikeleague.org/bfa/search/map?bfaq=68128&centroid=001G000000w8yIzIAI,,https://www.bikeleague.org/bfa/search/map?bfaq=68128&centroid=001G000000w8yIzIAI,2022-10-30 03:08:31,2023-02-10 04:42:50
13,12312 port grace blvd,12312 port grace blvd la vista ne 68128,12312 port grace blvd la vista ne 68128,Sitelinks,100,0,0.0,0.0,0.0,0.0,39.0,32.0,7,,https://www.bikeleague.org/bfa/search/map?bfaq=68128&centroid=001G000000w8yIzIAI,,https://www.bikeleague.org/bfa/search/map?bfaq=68128&centroid=001G000000w8yIzIAI,2022-10-29 23:50:22,2023-02-11 23:27:03
14,12312 port grace blvd,12312 port grace blvd la vista,12312 port grace blvd la vista,"Sitelinks, Image pack",100,0,,0.0,0.0,0.0,46.0,62.0,-16,,https://www.bikeleague.org/bfa/search/map?bfaq=68128&centroid=001G000000w8yIzIAI,,https://www.bikeleague.org/bfa/search/map?bfaq=68128&centroid=001G000000w8yIzIAI,2022-10-28 11:45:08,2023-02-08 16:22:10
15,16 cars bike,16 cars bike,16 cars bike,,40,0,0.16,0.0,,,33.0,,Lost,,https://www.bikeleague.org/StateBikeLaws,,,2022-11-09 18:19:14,
16,16 cars bike,16 cars bicycle,16 cars bicycle,,30,0,0.08,0.0,,,30.0,,Lost,,https://www.bikeleague.org/StateBikeLaws,,,2022-11-09 05:50:00,
17,16516 s westland drive gaithersburg md 20877,16516 s westland drive gaithersburg md 20877,16516 s westland drive gaithersburg md 20877,,10,0,0.0,0.0,,,45.0,,Lost,,https://www.bikeleague.org/sites/default/files/bikeleague/bikeleague.org/programs/bicyclefriendlyamerica/communities/censusdata.pdf,,,2022-10-30 15:21:48,
18,16516 s westland drive gaithersburg md 20877,"16516 s. westland drive gaithersburg, md 20877","16516 s. westland drive gaithersburg, md 20877","Sitelinks, Thumbnail, People also ask",60,0,,0.0,0.0,0.0,48.0,56.0,-8,,https://www.bikeleague.org/sites/default/files/bikeleague/bikeleague.org/programs/bicyclefriendlyamerica/communities/censusdata.pdf,,https://www.bikeleague.org/legacy/programs/bicyclefriendlyamerica/communities/censusdata.pdf,2022-10-21 00:19:30,2023-01-31 13:54:18
19,1716 locust street des moines,1716 locust street des moines,1716 locust street des moines,Sitelinks,30,0,0.0,,0.0,,,79.0,New,,,,https://www.bikeleague.org/sites/default/files/bikeleague/bikeleague.org/resources/commuters/pdfs/bicycle_commuter_tracking_log_example.pdf,,2023-01-31 05:26:04
20,1716 locust street des moines,"1716 locust street, des moines, ia 50309","1716 locust street, des moines, ia 50309","People also ask, Sitelinks",60,0,,,0.0,,,64.0,New,,,,https://www.bikeleague.org/sites/default/files/bikeleague/bikeleague.org/resources/commuters/pdfs/bicycle_commuter_tracking_log_example.pdf,,2023-01-23 19:51:27
21,17k steps in miles,22k steps in miles,22k steps in miles,,100,23,,0.0,,,53.0,,Lost,,http://www.bikeleague.org/sites/default/files/bfareportcards/BFC_Fall_2016_ReportCard_San_Francisco_CA.pdf,,,2022-11-04 23:31:11,
22,17k steps in miles,17k steps in miles,17k steps in miles,,100,6,,0.0,,,78.0,,Lost,,https://www.bikeleague.org/sites/default/files/bfareportcards/BFC_Fall_2021_ReportCard_Decatur_GA.pdf,,,2022-10-26 21:57:24,
23,1828 maple way coggon ia,1828 maple way coggon ia,1828 maple way coggon ia,"Sitelinks, Image pack",150,0,,0.0,0.0,0.0,42.0,42.0,,,https://www.bikeleague.org/sites/default/files/bikeleague/bikeleague.org/programs/bicyclefriendlyamerica/communities/censusdata.pdf,,https://www.bikeleague.org/legacy/programs/bicyclefriendlyamerica/communities/censusdata.pdf,2022-11-04 12:38:20,2023-01-21 23:20:18
24,1828 maple way coggon ia,1828 maple way coggon iowa,1828 maple way coggon iowa,"Sitelinks, Image pack",50,0,,0.0,0.0,0.0,40.0,38.0,2,,https://www.bikeleague.org/sites/default/files/bikeleague/bikeleague.org/programs/bicyclefriendlyamerica/communities/censusdata.pdf,,https://www.bikeleague.org/legacy/programs/bicyclefriendlyamerica/communities/censusdata.pdf,2022-11-02 14:02:51,2023-02-13 04:14:55
25,2 miles on a bike,how long to bike 2 miles,how long to bike 2 miles,,150,2,,0.0,,,78.0,,Lost,,https://www.bikeleague.org/content/national-household-travel-survey-short-trips-analysis,,,2022-11-10 05:09:30,
26,2 miles on a bike,how long would it take to bike 2 miles,how long would it take to bike 2 miles,,50,3,,0.0,,,99.0,,Lost,,https://www.bikeleague.org/content/national-household-travel-survey-short-trips-analysis,,,2022-11-08 21:51:32,
27,2 miles on a bike,2 miles on a bike,2 miles on a bike,,50,2,,0.0,,,56.0,,Lost,,https://www.bikeleague.org/content/national-household-travel-survey-short-trips-analysis,,,2022-11-10 11:44:21,
28,2017 commuter bikes,2017 commuter bikes,2017 commuter bikes,"Image pack, Sitelinks, Shopping results, Thumbnail",20,0,0.02,,0.0,,,33.0,New,,,,https://www.bikeleague.org/content/bicycle-commuter-benefit,,2023-02-02 03:13:08
29,2017 commuter bikes,commuter bikes 2017,commuter bikes 2017,"Image pack, Sitelinks",20,0,,,0.0,,,41.0,New,,,,https://www.bikeleague.org/content/bicycle-commuter-benefit,,2023-02-06 17:05:57
30,2021 bike,bicycling bike awards 2021,bicycling bike awards 2021,"Sitelinks, People also ask, Image pack",20,8,,2.0,0.0,-2.0,3.0,7.0,-4,,https://www.bikeleague.org/bfa/awards,Sitelinks,https://www.bikeleague.org/university,2022-11-03 13:38:40,2023-01-22 05:02:02
31,2021 bike,bike of the year 2021,bike of the year 2021,,80,19,,0.0,,,65.0,,Lost,,https://www.bikeleague.org/content/bike-month-dates-events-0,,,2022-10-31 12:54:51,
32,2021 bike,2021 bike,2021 bike,,350,34,,1.0,,,22.0,,Lost,,https://www.bikeleague.org/content/bike-month-dates-events-0,,,2022-10-29 23:50:25,
33,21 baneberry dr cranston ri,21 baneberry drive cranston ri,21 baneberry drive cranston ri,,90,0,,0.0,,,29.0,,Lost,,https://www.bikeleague.org/sites/default/files/bikeleague/bikeleague.org/programs/bicyclefriendlyamerica/communities/censusdata.pdf,,,2022-11-02 19:46:24,
34,21 baneberry dr cranston ri,21 baneberry dr cranston ri,21 baneberry dr cranston ri,Sitelinks,50,0,,,0.0,,,61.0,New,,,,https://www.bikeleague.org/legacy/programs/bicyclefriendlyamerica/communities/censusdata.pdf,,2023-01-21 15:25:23
35,22 bicycle,22 bicycle,22 bicycle,"Thumbnail, Sitelinks, People also ask, Shopping results",200,4,0.33,,0.0,,,44.0,New,,,,https://www.bikeleague.org/community,,2023-02-05 12:43:55
36,22 bicycle,"22"" bicycle","22"" bicycle","Thumbnail, Sitelinks, People also ask, Shopping results",50,4,,,0.0,,,51.0,New,,,,https://www.bikeleague.org/community,,2023-01-24 01:38:50
37,2419 ilion ave n minneapolis mn,2419 ilion ave n minneapolis mn,2419 ilion ave n minneapolis mn,Image pack,80,0,,,0.0,,,89.0,New,,,,https://www.bikeleague.org/legacy/programs/bicyclefriendlyamerica/communities/censusdata.pdf,,2023-01-21 19:42:09
38,2419 ilion ave n minneapolis mn,2419 ilion avenue north minneapolis mn,2419 ilion avenue north minneapolis mn,Sitelinks,50,0,,0.0,0.0,0.0,40.0,80.0,-40,,https://www.bikeleague.org/sites/default/files/bikeleague/bikeleague.org/programs/bicyclefriendlyamerica/communities/censusdata.pdf,,https://www.bikeleague.org/legacy/programs/bicyclefriendlyamerica/communities/censusdata.pdf,2022-11-03 11:53:14,2023-01-21 20:28:57
39,26 usc 132,tax code section 132,tax code section 132,"People also ask, Sitelinks",50,9,0.0,,0.0,,,97.0,New,,,,https://www.bikeleague.org/sites/default/files/bikeleague/bikeleague.org/news/pdfs/memo_qualified_bicycle_commuting_reimbursement.pdf,,2023-02-12 00:03:50
40,26 usc 132,26 usc 132,26 usc 132,"Sitelinks, People also ask, Image pack",100,9,,,0.0,,,45.0,New,,,,https://www.bikeleague.org/sites/default/files/bikeleague/bikeleague.org/news/pdfs/memo_qualified_bicycle_commuting_reimbursement.pdf,,2023-02-06 10:30:34
41,26 usc 132,irs section 132 f,irs section 132 f,"People also ask, Image pack",20,12,0.0,,0.0,,,99.0,New,,,,https://www.bikeleague.org/content/bicycle-commuter-benefit,,2023-01-26 11:05:54
42,2618 baltic rd blackville sc,"2618 baltic road, blackville, south carolina","2618 baltic road, blackville, south carolina","Sitelinks, Image pack",50,0,,0.0,0.0,0.0,35.0,33.0,2,Sitelinks,https://www.bikeleague.org/sites/default/files/bikeleague/bikeleague.org/programs/bicyclefriendlyamerica/communities/censusdata.pdf,,https://www.bikeleague.org/legacy/programs/bicyclefriendlyamerica/communities/censusdata.pdf,2022-11-07 18:13:18,2023-01-24 06:58:31
43,2618 baltic rd blackville sc,2618 baltic rd blackville sc,2618 baltic rd blackville sc,,50,0,,0.0,,,45.0,,Lost,,https://www.bikeleague.org/legacy/programs/bicyclefriendlyamerica/communities/censusdata.pdf,,,2022-11-10 09:00:50,
44,3% idaho,idaho 3%,idaho 3%,,50,26,,0.0,,,74.0,,Lost,,http://www.bikeleague.org/legacy/conferences/summit13/Factsheets/District/Dist_ID_1.pdf,,,2022-11-04 05:55:25,
45,3% idaho,3% idaho,3% idaho,,40,33,,0.0,,,67.0,,Lost,,http://www.bikeleague.org/legacy/conferences/summit13/Factsheets/District/Dist_ID_1.pdf,,,2022-10-27 20:36:03,
46,3311 eastport rd se dennison,3311 eastport road dennison ohio,3311 eastport road dennison ohio,"Sitelinks, Video preview",200,0,,0.0,0.0,0.0,37.0,68.0,-31,,https://www.bikeleague.org/sites/default/files/bikeleague/bikeleague.org/programs/bicyclefriendlyamerica/communities/censusdata.pdf,,https://www.bikeleague.org/legacy/programs/bicyclefriendlyamerica/communities/censusdata.pdf,2022-11-03 12:40:36,2023-01-21 13:15:46
47,3311 eastport rd se dennison,3311 eastport rd se dennison,3311 eastport rd se dennison,,50,0,,0.0,,,48.0,,Lost,,https://www.bikeleague.org/sites/default/files/bikeleague/bikeleague.org/programs/bicyclefriendlyamerica/communities/censusdata.pdf,,,2022-11-05 03:30:37,
48,3311 eastport rd se dennison,3311 eastport rd se dennison oh,3311 eastport rd se dennison oh,,70,0,,,0.0,,,85.0,New,,,,https://www.bikeleague.org/legacy/programs/bicyclefriendlyamerica/communities/censusdata.pdf,,2023-02-13 03:16:40
49,3311 eastport rd se dennison,3311 eastport rd dennison ohio,3311 eastport rd dennison ohio,,100,0,,0.0,,,40.0,,Lost,,https://www.bikeleague.org/sites/default/files/bikeleague/bikeleague.org/programs/bicyclefriendlyamerica/communities/censusdata.pdf,,,2022-11-02 18:52:17,
50,4 e,4 e's,4 e's,"Featured snippet, People also ask, Video preview, Sitelinks",90,4,,,0.0,,,77.0,New,,,,https://www.bikeleague.org/5-Es,,2023-01-25 00:22:19
51,4 e,4 e,4 e,"People also ask, Image pack, Videos, Sitelinks",700,7,1.09,0.0,0.0,0.0,45.0,28.0,17,,https://www.bikeleague.org/5-Es,,https://www.bikeleague.org/5-Es,2022-11-09 00:48:06,2023-02-12 14:52:55
52,4 mile bike ride,how long to bike 4 miles,how long to bike 4 miles,,150,0,,0.0,,,92.0,,Lost,,https://www.bikeleague.org/content/national-household-travel-survey-short-trips-analysis,,,2022-11-03 10:00:17,
53,4 mile bike ride,4 mile bike ride,4 mile bike ride,,50,2,,0.0,,,89.0,,Lost,,https://www.bikeleague.org/sites/default/files/ab_nov_dec_2012.pdf,,,2022-11-11 10:22:14,
54,40/50 percentage,40/50 as a percentage,40/50 as a percentage,,150,1,,0.0,,,83.0,,Lost,,https://www.bikeleague.org/content/national-household-travel-survey-short-trips-analysis,,,2022-11-06 16:13:52,
55,40/50 percentage,40/50 percentage,40/50 percentage,,350,0,,0.0,,,96.0,,Lost,,https://www.bikeleague.org/content/national-household-travel-survey-short-trips-analysis,,,2022-10-30 07:32:56,
56,4221 pc,4221 pc,4221 pc,"People also ask, Image pack, Sitelinks",50,0,0.0,,0.0,,,74.0,New,,,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,2023-01-25 08:56:11
57,4221 pc,irs publication 4221,irs publication 4221,"Sitelinks, People also ask",20,0,0.0,0.0,0.0,0.0,18.0,25.0,-7,,http://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,2022-11-12 19:53:37,2023-01-28 11:48:23
58,4221 pc,irs publication 4221-pc,irs publication 4221-pc,"Sitelinks, People also ask",60,0,,0.0,0.0,0.0,17.0,21.0,-4,,http://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,2022-11-08 19:50:21,2023-01-26 10:20:47
59,4221 pc,irs publication 4221 pc,irs publication 4221 pc,"Thumbnail, Sitelinks, People also ask",30,0,,0.0,0.0,0.0,91.0,48.0,43,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,2022-10-27 19:34:37,2023-02-08 18:08:30
60,4221 pc,compliance guide for 501(c)(3) public charities,compliance guide for 501(c)(3) public charities,,90,0,,0.0,,,44.0,,Lost,,http://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,,2022-11-10 21:24:40,
61,5 bikes,5 bikes,5 bikes,"Image pack, Sitelinks",20,25,0.35,0.0,0.0,0.0,12.0,36.0,-24,,https://www.bikeleague.org/5-Es,,https://www.bikeleague.org/5-Es,2022-10-27 15:50:49,2023-02-07 16:41:03
62,5 bikes,bikes 5,bikes 5,"Image pack, Videos",30,44,2.46,0.0,0.0,0.0,19.0,13.0,6,,https://www.bikeleague.org/5-Es,,https://www.bikeleague.org/5-Es,2022-11-08 01:59:50,2023-01-25 10:45:34
63,5 e,5 e,5 e,"Featured snippet, People also ask, Sitelinks, Video preview",300,42,0.0,4.0,1.0,-3.0,10.0,17.0,-7,,https://www.bikeleague.org/5-Es,,https://www.bikeleague.org/5-Es,2022-11-07 13:11:17,2023-01-24 21:54:45
64,5 e,the five e's,the five e's,"People also ask, Image pack, Knowledge panel, Video preview, Sitelinks",80,31,0.0,1.0,0.0,0.0,13.0,16.0,-3,,https://www.bikeleague.org/5-Es,,https://www.bikeleague.org/5-Es,2022-10-26 01:40:58,2023-02-06 10:40:48
65,5 e,5 es,5 es,,800,30,,0.0,,,13.0,,Lost,,https://www.bikeleague.org/5-Es,,,2022-11-10 03:52:55,
66,5 e,5.es,5.es,"Image pack, People also ask, Sitelinks, Video preview",200,33,,2.0,0.0,-1.0,16.0,26.0,-10,,https://www.bikeleague.org/5-Es,,https://www.bikeleague.org/5-Es,2022-11-12 04:10:38,2023-01-30 00:05:37
67,5 e,5 e's,5 e's,"People also ask, Image pack, Knowledge panel, Video preview",20,32,,0.0,0.0,0.0,12.0,33.0,-21,,https://www.bikeleague.org/5-Es,,https://www.bikeleague.org/5-Es,2022-11-12 10:47:39,2023-01-29 14:36:30
68,5 miles on a bike,5 miles on a bike,5 miles on a bike,,90,1,,0.0,,,76.0,,Lost,,https://www.bikeleague.org/content/national-household-travel-survey-short-trips-analysis,,,2022-10-23 22:48:26,
69,5 miles on a bike,how long to bike 5 miles,how long to bike 5 miles,,350,0,,0.0,,,74.0,,Lost,,https://www.bikeleague.org/content/national-household-travel-survey-short-trips-analysis,,,2022-11-12 14:56:21,
70,501c form pdf,501 c 3 form pdf,501 c 3 form pdf,,250,31,2.68,0.0,,,91.0,,Lost,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,,2022-10-28 01:40:18,
71,501c form pdf,sample 501c3 application pdf,sample 501c3 application pdf,"Sitelinks, People also ask, Image pack",90,15,,0.0,0.0,0.0,29.0,90.0,-61,,http://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,2022-11-10 07:57:20,2023-01-27 18:24:05
72,501c form pdf,501c form pdf,501c form pdf,,60,31,2.84,0.0,,,85.0,,Lost,,http://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,,2022-11-05 19:14:13,
73,501c3 501c4,difference between 501c3 and 501c4,difference between 501c3 and 501c4,,450,19,1.81,0.0,,,71.0,,Lost,,http://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,,2022-11-08 08:52:53,
74,501c3 501c4,501 c3 vs c4,501 c3 vs c4,"Featured snippet, People also ask",250,12,0.0,,0.0,,,44.0,New,,,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,2023-01-29 03:25:55
75,501c3 501c4,501c3 501c4,501c3 501c4,"Featured snippet, People also ask, Sitelinks, Image pack",60,19,,0.0,0.0,0.0,99.0,95.0,4,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,2022-10-27 20:31:48,2023-02-07 00:41:07
76,501c3 501c4,501c3 vs c4,501c3 vs c4,"Featured snippet, Thumbnail, People also ask, Sitelinks",250,16,,,0.0,,,55.0,New,,,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,2023-01-22 03:04:33
77,501c3 501c4,what is a 501c4 vs 501c3,what is a 501c4 vs 501c3,"Featured snippet, People also ask, Sitelinks, Image pack",30,19,,0.0,0.0,0.0,54.0,62.0,-8,,http://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,2022-10-30 00:10:47,2023-02-12 04:57:30
78,501c3 501c4,difference between 501c3 and c4,difference between 501c3 and c4,"Featured snippet, People also ask, Sitelinks, Image pack",30,17,0.0,,0.0,,,86.0,New,,,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,2023-02-11 07:59:11
79,501c3 501c4,what is the difference between a 501c3 and a 501c4,what is the difference between a 501c3 and a 501c4,"Featured snippet, People also ask, Sitelinks",40,13,0.0,0.0,0.0,0.0,74.0,62.0,12,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,2022-10-28 22:48:52,2023-02-08 08:47:15
80,501c3 501c4,what is the difference between a 501c3 and 501c4,what is the difference between a 501c3 and 501c4,"Featured snippet, People also ask, Sitelinks",150,16,0.0,0.0,0.0,0.0,78.0,71.0,7,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,2022-10-27 23:01:20,2023-02-06 22:46:02
81,501c3 501c4,501c3 or 501c4,501c3 or 501c4,"Featured snippet, People also ask, Sitelinks",30,18,0.73,,0.0,,,69.0,New,,,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,2023-02-02 02:02:08
82,501c3 501c4,what is the difference between 501c3 and 501c4,what is the difference between 501c3 and 501c4,"Featured snippet, People also ask, Sitelinks",150,17,1.1,0.0,0.0,0.0,72.0,85.0,-13,,http://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,2022-11-14 00:54:02,2023-01-05 20:16:57
83,501c3 501c4,difference between a 501c3 and 501c4,difference between a 501c3 and 501c4,"Featured snippet, People also ask, Sitelinks, Image pack",450,12,,,0.0,,,82.0,New,,,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,2023-02-05 22:28:13
84,501c3 501c4,501c4 vs 501c3,501c4 vs 501c3,"Featured snippet, People also ask, Image pack, Sitelinks",900,14,0.0,0.0,0.0,0.0,78.0,83.0,-5,,http://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,2022-11-11 17:29:35,2023-02-12 17:40:32
85,501c3 501c4,501c3 vs 501c4,501c3 vs 501c4,"Featured snippet, People also ask",1000,14,4.44,,0.0,,,61.0,New,,,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,2023-02-11 22:49:03
86,501c3 advocacy,501c3 advocacy,501c3 advocacy,,30,20,1.22,0.0,,,33.0,,Lost,,http://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,,2022-11-12 23:58:17,
87,501c3 advocacy,501c3 advocacy rules,501c3 advocacy rules,,40,20,,0.0,,,82.0,,Lost,,http://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,,2022-11-11 07:39:54,
88,501c3 allowable expenses,tax write offs for nonprofit organizations,tax write offs for nonprofit organizations,,80,50,,0.0,,,41.0,,Lost,,http://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,,2022-10-30 15:15:37,
89,501c3 allowable expenses,501c3 allowable expenses,501c3 allowable expenses,"Featured snippet, People also ask, Sitelinks, Image pack",70,7,,0.0,0.0,0.0,38.0,55.0,-17,,http://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,,https://www.bikeleague.org/legacy/members/club/resource_docs/Incorporation%20and%20Tax%20Exempt%20Status%20for%20Bike%20Clubs%20and%20Advocacy%20Organizations.pdf,2022-11-12 08:42:27,2023-01-29 10:40:35
